,start,end,device_id,xy,meter_number,meter_installation,srn_number,account_number,region,county,type_of_industry,metering_installation,programming_initial,programming_final,meter_terminal_initial,meter_terminal_final,test_block_initial,test_block_final,meter_body_seal_initial,meter_body_seal_final,smart_meter_enclosure_initial,smart_meter_enclosure_final,amr_initial,amr_final,other_seals,connection_configs,meter_voltage_at_site,ct_ratio_programmed,ct_ratio_at_meter,ct_ratio_installed,vt_ratio,ct_vt_done,ct_vt_match,mismatch_description,zera_test_done,error_trial_per,error_test_remarks,error_per,test_results_remarks,meter_pass_test,red_phase_amcorder,red_phase_meter,yellow_phase_amcoder,yellow_phase_meter,blue_phase_amcorder,blue_phase_meter,load_balancing,m_n_clamp_currents,time_actual,part_eight/time_meter,date_actual,date_meter,current_180_kwh,memory_180_kwh,image_180_kwh,current_280_kwh,memory_280_kwh,image_280_kwh,current_960_kva,memory_960_kva,current_150_kwh,memory_150_kwh,current_181_kwh,part_eight/memory_181_kwh,current_182_kwh,memory_182_kwh,instateneous_970_kva,instateneous_170_kva,red_phase_voltage,yellow_phase_voltage,blue_phase_voltage,red_phase_current,yellow_phase_current,blue_phase_current,power_factor,reading_remarks,solar_installation,solar_size,solar_installation_date,overall_remarks,declaration,instance_id,instance_name,submission_date,submitter_id,submitter_name
0,2025-08-10T17:05:10.518+03:00,2025-08-10T17:15:00.947+03:00,collect:g4DxhKlaEMmm7HuE,"[36.8130748, -1.2859714, 0]",040016114181,UTUMISHI INVESTMENT LIMITED,530332.0,5303326,NAIROBI,NAIROBI WEST,MULTI_USE_OFFICE_COMPLEX,GROUND_MOUNTED_ACCESSIBLE,Metallic 2015,Maintain ,Kplc81667,Maintain ,Kp20753948,Maintain ,Metallic 2016,Maintain ,Kpl21741588,Kpl21628494,,,,3P4W,1/1/,300/5,1754834996237.jpg,300/5,vt_ratio_1/1,y_n_no,ct_vt_match_yes,No mismatch ,zera_test_done_no,,,,,,40.0,40.0,36.0,36.0,26.0,26.0,Load balancing oky,m_n_clamp_currents_yes,17:11:00.000+03:00,17:13:00.000+03:00,2025-08-10,2025-08-10,2620806,2614785,1754835164322.jpg,0,0,1754835185385.jpg,51.0,55.6,50.7,55.6,1722162,1718519,898643,896266,,,242.0,241.0,242.0,38.0,40.0,30.0,0.987,Oky,solar_installation_no,,,Installation is oky,declaration_yes,uuid:c4e313cf-b18d-4299-b328-fe5419a2d785,-1.2859714 36.8130748 0.0 1000.0,2025-08-10T14:15:02.064Z,237,KPL19742-Muguthi
1,2025-08-10T16:50:43.524+03:00,2025-08-10T17:00:03.695+03:00,collect:g4DxhKlaEMmm7HuE,"[36.8130151, -1.2859294, 0]",040016114362,CENTRE PARK PLAZA LTD,32934.0,329344,NAIROBI,NAIROBI WEST,MULTI_USE_OFFICE_COMPLEX,GROUND_MOUNTED_ACCESSIBLE,Metallic 2015,Maintain ,Kplc81694,Maintain ,Kp20753911,Maintain ,Metallic 2015,Maintain ,Kpl21741553,Kpl21628403,,,,3P4W,1/1/,300/5,1754834119470.jpg,300/5,vt_ratio_1/1,y_n_no,ct_vt_match_yes,No mismatch ,zera_test_done_no,,,,,,5.0,5.0,7.0,7.0,10.0,10.0,Oky,m_n_clamp_currents_yes,16:57:00.000+03:00,16:58:00.000+03:00,2025-08-10,2025-08-10,714436,713625,1754834271749.jpg,50,50,1754834296367.jpg,8.5,11.7,8.2,11.3,511905,511436,202531,202188,,,242.0,242.0,243.0,14.0,13.0,13.0,0.987,Oky,solar_installation_no,,,Installation is oky,declaration_yes,uuid:f93fb5ef-44c2-46ed-b531-beac277e28a0,-1.2859294 36.8130151 0.0 1000.0,2025-08-10T14:00:04.700Z,237,KPL19742-Muguthi
2,2025-08-10T16:26:17.998+03:00,2025-08-10T16:36:29.471+03:00,collect:g4DxhKlaEMmm7HuE,"[36.8144287, -1.2874113, 0]",040016113464,NAIROBI CITY WATER &amp;SEWARAGE LIMITED,2431774.0,24317741,NAIROBI,NAIROBI WEST,COUNTY_GOV_OFFICES,GROUND_MOUNTED_ACCESSIBLE,Metallic 2015,Maintain ,Kp21048259,Maintain ,Kp20735924/35908,Maintain ,Metallic 2015,Maintain ,Kpl21741526//958,Kpl21628473/8458,,,,3P4W,1/1/,2000/5,1754832727633.jpg,2000/5,vt_ratio_1/1,y_n_no,ct_vt_match_yes,No mismatch ,zera_test_done_no,,,,,,0.0,0.0,0.0,0.0,2.0,2.0,Oky,m_n_clamp_currents_yes,16:33:00.000+03:00,16:34:00.000+03:00,2025-08-10,2025-08-10,131176,130861,1754832835334.jpg,0,0,1754832854370.jpg,10.0,10.0,10.0,10.0,69402,69229,61773,61632,,,234.0,234.0,231.0,0.0,0.0,2.0,1.0,Oky,solar_installation_no,,,Very low current observed.thia is Nairobi water stand by pupms,declaration_yes,uuid:bc847ede-8fc0-4ad2-8137-da0cbde6de7b,-1.2874113 36.8144287 0.0 100.0,2025-08-10T13:36:30.524Z,237,KPL19742-Muguthi
3,2025-08-10T15:48:32.171+03:00,2025-08-10T15:58:34.623+03:00,collect:g4DxhKlaEMmm7HuE,"[36.8127463, -1.2908392, 0]",040016117047,M/S WARDEN C P OF KENYA,530249.0,5302492,NAIROBI,NAIROBI WEST,MULTI_USE_OFFICE_COMPLEX,GROUND_MOUNTED_ACCESSIBLE,Metallic 2016,Maintain ,Kplc0082304,Maintain ,Kp20720127,Maintain ,Metallic 2016,Maintain ,Kpl21740689,Kpl21628434,,,,3P4W,1/1/,300/5,1754830357125.jpg,300/5,vt_ratio_1/1,y_n_no,ct_vt_match_yes,No mismatch ,zera_test_done_no,,,,,,20.0,20.0,24.0,24.0,72.0,72.0,Load balancing not observed ,m_n_clamp_currents_yes,15:54:00.000+03:00,15:54:00.000+03:00,2025-08-10,2025-08-10,1327867,1322599,1754830520480.jpg,0,0,1754830558011.jpg,58.5,52.3,58.2,51.8,906987,903759,420879,418839,,,247.0,244.0,240.0,20.0,24.0,65.0,0.982,Load balancing not observed ,solar_installation_no,,,Installation is oky but load balancing not observed ,declaration_yes,uuid:6019918e-275d-4e02-bfcd-7e737e5f1b60,-1.2908392 36.8127463 0.0 100.0,2025-08-10T12:58:35.478Z,237,KPL19742-Muguthi
4,2025-08-10T15:22:16.726+03:00,2025-08-10T15:34:16.341+03:00,collect:g4DxhKlaEMmm7HuE,"[36.8130828, -1.2920477, 0]",040010110080,Dioceses of nyeri trustee,530231.0,5302310,NAIROBI,NAIROBI WEST,HOSPITALITY,AMR_METERING,Kp210364003,Maintain ,Kpl21741599,Maintain ,Kpl21741525,Maintain ,Kpl21741547,Maintain ,None,N/A,Kpl21740902,"
Kpl21803052/3090",,3P4W,1/1/,300/5,1754828882631.jpg,300/5,vt_ratio_1/1,y_n_no,ct_vt_match_yes,No mismatch ,zera_test_done_no,,,,,,32.0,32.0,23.0,22.0,26.0,24.0,Load balancing oky,m_n_clamp_currents_yes,15:30:00.000+03:00,15:31:00.000+03:00,2025-08-10,2025-08-10,935075,929669,1754829061892.jpg,1159,1159,1754829086962.jpg,52.0,58.0,51.0,57.0,484092,48632,450983,449036,,,239.0,239.0,238.0,30.7,22.0,24.0,0.905,Oky,solar_installation_no,,,"Installation is .
If possible the arm should be retrofitted",declaration_yes,uuid:ef514765-131f-473f-9cc2-ad4f468f9037,-1.2920477 36.8130828 0.0 100.0,2025-08-10T12:34:17.471Z,237,KPL19742-Muguthi
5,2025-08-09T16:35:00.987+03:00,2025-08-09T16:54:58.379+03:00,collect:g4DxhKlaEMmm7HuE,"[36.83742, -1.3247083, 1648.3]",0400161199,Fisheries ministry deupt,10198322.0,105053276,NAIROBI,NAIROBI WEST,MULTI_USE_OFFICE_COMPLEX,GROUND_MOUNTED_ACCESSIBLE,16121194,Maintain ,Kpl21742881,Kpl21803087,N/A,None,Kpl21742655,Maintain ,Kpl21747439,Kpl21803061,,,,3P4W,1/1/,200/5,1754747270757.jpg,200/5,vt_ratio_1/1,y_n_yes,ct_vt_match_yes,No mismatch ,zera_test_done_no,,,,,,0.54,0.54,0.0,0.0,0.0,0.0,"Very low load on red,0 at yello,0 on blue",m_n_clamp_currents_yes,16:49:00.000+03:00,16:49:00.000+03:00,2025-08-09,2025-08-09,162377,16237,1754747509290.jpg,58,0,1754747682509.jpg,0.122,9.0,0.112,8.304,9045,9045,7191,7191,,,236.0,237.0,237.0,0.56,0.0,0.0,0.9,Oky,solar_installation_no,,,Very low current recorded ,declaration_yes,uuid:9f66c0da-2d8a-4725-aba6-a0a29411c18c,-1.3247083 36.83742 1648.3 3.5999999046325684,2025-08-09T13:54:59.662Z,237,KPL19742-Muguthi
6,2025-08-09T12:51:12.634+03:00,2025-08-09T13:00:52.068+03:00,collect:8g7CvBhTHeg9gsvL,"[37.6581002, 0.0416035, 1516]",040016117608,Kenya planters co-op Union ltd ,710173.0,17101734,MOUNT_KENYA,MERU,FOOD_PROCESSING,POLE_MOUNTED_ELEVATED,2018,2018,20982128,22300797,Na,Na,2018,2018,None,22300740,,,None ,3P4W,1/1/,1/1,1754733306896.jpg,1/1,vt_ratio_1/1,y_n_yes,ct_vt_match_yes,None ,zera_test_done_no,,,,,,2.0,0.0,19.0,0.0,1.0,19.0,Ok,m_n_clamp_currents_yes,12:56:00.000+03:00,12:35:00.000+03:00,2025-08-09,2025-08-05,49198,48805,1754733466951.jpg,0,0,1754733496864.jpg,8.0,7.0,7.0,7.0,6027535,27232,21662,21572,,,233.0,242.0,239.0,2.0,0.0,18.0,0.9,Okay ,solar_installation_no,,,,declaration_yes,uuid:d30da2b7-f26c-4864-a545-c98ad1f29dde,0.0416035 37.6581002 1516.0 15.986000061035156,2025-08-09T10:00:52.752Z,272,KPL16937-AYUB
7,2025-08-09T12:08:26.506+03:00,2025-08-09T12:44:00.953+03:00,collect:sxIkpTj3bZXlmG7e,"[37.259682, -1.5238301, 1591.300048828125]",040016113685,Mini bakery ltd,20702025.0,20702025,NAIROBI,MACHAKOS,FOOD_PROCESSING,POLE_MOUNTED_ACCESSIBLE,Plate type -2015,Plate type -2015,21805357,21503440,20528466,20528466,Plate type -2015,Plate type -2015,21500558,21503421,,,None,3P4W,1/1/,500/5,1754731236887.jpg,500/5,vt_ratio_1/1,y_n_yes,ct_vt_match_yes,No mismatch,zera_test_done_no,,,,,,108.0,108.0,110.0,110.0,118.0,118.0,Okay,m_n_clamp_currents_yes,12:22:00.000+03:00,12:24:00.000+03:00,2025-08-09,2025-08-09,8102455,8081538,1754731464130.jpg,109,109,1754731500658.jpg,120.0,125.0,120.0,125.0,4118130,4107415,3984327,3974122,,,233.0,232.0,231.0,108.0,110.0,118.0,0.9,Reading okay,solar_installation_no,,,"Meter okay, faulty communication  module",declaration_yes,uuid:d0e452f9-6512-4878-9f79-59de8bae2279,-1.5238301 37.259682 1591.300048828125 11.17300033569336,2025-08-09T09:44:02.643Z,249,KPL85123-Levi
8,2025-08-09T11:24:35.989+03:00,2025-08-09T12:42:20.675+03:00,collect:sxIkpTj3bZXlmG7e,"[37.259854, -1.522997, 1598.5]",040016112718,Eastern flour mills,531604.0,1,NAIROBI,MACHAKOS,FOOD_PROCESSING,POLE_MOUNTED_ACCESSIBLE,Plate type-2015,Plate type-2015,21805318,21503499,20332754,20332754,Plate type-2015,Plate type-2015,21805373,21503459,,,None,3P4W,1/1/,300/5,1754729432175.jpg,300/5,vt_ratio_1/1,y_n_yes,ct_vt_match_yes,No mismatch,zera_test_done_no,,,,,,55.0,54.0,56.0,54.0,58.0,57.0,Balanced loads,m_n_clamp_currents_yes,11:53:00.000+03:00,11:53:00.000+03:00,2025-08-09,2025-08-09,2695517,2693338,1754729666050.jpg,10944,10944,1754729718387.jpg,122.0,127.0,106.0,111.0,1951384,1949315,7444133,744023,,,240.0,241.0,243.0,56.0,55.0,50.0,0.999,Reading okay,solar_installation_no,,,"Meter okay, faulty communication module",declaration_yes,uuid:d39a33a0-3811-40c4-9ea2-2f462382e9bc,-1.522997 37.259854 1598.5 2.9000000953674316,2025-08-09T09:43:22.610Z,249,KPL85123-Levi
9,2025-08-09T12:18:53.036+03:00,2025-08-09T12:30:43.518+03:00,collect:8g7CvBhTHeg9gsvL,"[37.6521884, 0.0450124, 1565.300048828125]",040016112294,Abdul Rashid property ,4105219.0,144087547,MOUNT_KENYA,MERU,SUPERMARKET,POLE_MOUNTED_ELEVATED,2016,2016,20960487,22300705,Na,Na,2016,2016,209845509,22300728,,,Na,3P4W,1/1/,300/5,1754731579808.jpg,300/5,vt_ratio_1/1,y_n_yes,ct_vt_match_yes,None ,zera_test_done_no,,,,,,64.0,60.0,68.0,64.0,59.0,65.0,Ok,m_n_clamp_currents_yes,12:27:00.000+03:00,12:27:00.000+03:00,2025-08-09,2025-08-09,2193724,2188038,1754731702274.jpg,0,0,1754731726146.jpg,61.0,61.0,60.0,60.0,1463672,1459497,730052,7285540,,,236.0,239.0,240.0,60.0,64.0,58.0,0.9,Ok,solar_installation_no,,,Okay ,declaration_yes,uuid:fe5816f5-ae0c-4dd6-90b8-f8d52f68deed,0.0450124 37.6521884 1565.300048828125 25.395000457763672,2025-08-09T09:30:43.832Z,272,KPL16937-AYUB
